iter	Passed	Remaining
0	155	155430
1	157	78377
2	158	52778
3	160	39968
4	162	32310
5	164	27175
6	165	23478
7	167	20730
8	168	18589
9	170	16867
10	171	15457
11	173	14273
12	174	13285
13	176	12434
14	178	11704
15	179	11041
16	180	10456
17	182	9959
18	184	9511
19	185	9111
20	187	8742
21	189	8404
22	190	8095
23	192	7809
24	193	7547
25	194	7296
26	196	7080
27	197	6870
28	199	6670
29	200	6485
30	202	6319
31	203	6170
32	205	6022
33	207	5884
34	208	5750
35	210	5626
36	211	5505
37	213	5393
38	214	5289
39	216	5192
40	218	5100
41	219	5011
42	221	4924
43	223	4845
44	224	4768
45	226	4695
46	228	4623
47	229	4551
48	230	4482
49	232	4420
50	234	4359
51	235	4299
52	237	4241
53	238	4185
54	240	4133
55	242	4079
56	243	4026
57	244	3977
58	246	3925
59	247	3878
60	248	3830
61	250	3787
62	251	3745
63	253	3707
64	255	3670
65	257	3638
66	258	3603
67	259	3560
68	261	3534
69	264	3517
70	267	3493
71	268	3466
72	270	3439
73	272	3413
74	274	3390
75	276	3363
76	278	3341
77	285	3368
78	287	3352
79	290	3340
80	292	3320
81	295	3305
82	299	3305
83	302	3293
84	303	3268
85	308	3274
86	309	3251
87	312	3236
88	314	3223
89	317	3210
90	320	3204
91	324	3200
92	327	3189
93	329	3172
94	331	3158
95	333	3144
96	336	3128
97	339	3122
98	341	3111
99	346	3114
100	348	3099
101	349	3078
102	352	3067
103	354	3055
104	357	3046
105	359	3035
106	363	3030
107	365	3020
108	367	3005
109	369	2991
110	371	2978
111	373	2963
112	375	2950
113	377	2937
114	380	2925
115	381	2910
116	384	2900
117	386	2886
118	387	2871
119	389	2858
120	391	2845
121	394	2836
122	395	2818
123	397	2808
124	399	2798
125	402	2792
126	404	2782
127	406	2768
128	408	2761
129	411	2751
130	414	2746
131	416	2741
132	419	2735
133	423	2738
134	426	2735
135	430	2731
136	436	2748
137	447	2795
138	452	2801
139	455	2797
140	458	2795
141	461	2791
142	464	2786
143	467	2777
144	470	2771
145	472	2764
146	475	2758
147	479	2757
148	481	2752
149	484	2743
150	486	2737
151	489	2730
152	492	2724
153	494	2717
154	497	2713
155	500	2709
156	503	2701
157	506	2698
158	508	2690
159	511	2684
160	513	2677
161	516	2670
162	519	2666
163	521	2659
164	524	2654
165	526	2646
166	529	2638
167	531	2632
168	534	2625
169	536	2619
170	539	2613
171	541	2607
172	544	2603
173	547	2597
174	550	2593
175	554	2595
176	559	2600
177	563	2601
178	567	2602
179	572	2606
180	574	2597
181	578	2601
182	582	2601
183	585	2598
184	588	2593
185	590	2586
186	593	2580
187	595	2573
188	598	2566
189	600	2559
190	602	2550
191	604	2542
192	605	2533
193	607	2524
194	609	2515
195	611	2507
196	613	2498
197	614	2490
198	616	2481
199	617	2471
200	619	2463
201	621	2454
202	622	2445
203	624	2435
204	625	2426
205	627	2417
206	628	2407
207	629	2397
208	630	2387
209	632	2377
210	633	2368
211	634	2359
212	636	2350
213	637	2341
214	639	2333
215	640	2324
216	641	2315
217	642	2306
218	644	2297
219	645	2288
220	646	2278
221	647	2269
222	648	2261
223	650	2252
224	651	2243
225	652	2234
226	653	2226
227	654	2217
228	656	2209
229	657	2200
230	658	2192
231	659	2184
232	661	2176
233	662	2168
234	663	2160
235	664	2151
236	665	2143
237	667	2136
238	668	2128
239	669	2120
240	670	2112
241	671	2104
242	673	2097
243	674	2089
244	675	2081
245	676	2073
246	677	2066
247	678	2058
248	680	2051
249	681	2043
250	682	2036
251	683	2029
252	685	2023
253	686	2016
254	687	2009
255	689	2002
256	690	1995
257	691	1988
258	692	1981
259	693	1974
260	695	1968
261	696	1961
262	697	1954
263	698	1948
264	700	1942
265	701	1935
266	702	1929
267	703	1922
268	705	1916
269	706	1909
270	707	1903
271	708	1896
272	710	1890
273	711	1885
274	713	1879
275	714	1873
276	715	1867
277	716	1860
278	717	1854
279	718	1848
280	720	1842
281	721	1836
282	722	1830
283	723	1824
284	724	1818
285	726	1812
286	727	1806
287	728	1801
288	729	1795
289	731	1789
290	732	1784
291	733	1778
292	734	1773
293	736	1767
294	737	1762
295	738	1757
296	740	1752
297	741	1746
298	742	1741
299	744	1736
300	745	1731
301	746	1725
302	748	1720
303	749	1715
304	750	1710
305	751	1705
306	753	1700
307	754	1694
308	755	1689
309	756	1684
310	758	1679
311	759	1674
312	760	1669
313	761	1664
314	762	1659
315	764	1653
316	765	1648
317	766	1643
318	767	1639
319	768	1634
320	770	1629
321	771	1624
322	772	1619
323	774	1614
324	775	1610
325	776	1605
326	778	1601
327	779	1597
328	780	1592
329	782	1587
330	783	1583
331	784	1578
332	785	1573
333	786	1569
334	788	1564
335	789	1559
336	790	1555
337	791	1550
338	793	1546
339	794	1541
340	795	1537
341	796	1532
342	798	1528
343	799	1524
344	800	1519
345	801	1515
346	802	1510
347	803	1506
348	804	1501
349	806	1497
350	807	1492
351	808	1488
352	809	1483
353	810	1479
354	811	1475
355	813	1471
356	814	1467
357	816	1464
358	818	1461
359	820	1458
360	821	1454
361	823	1451
362	825	1448
363	827	1445
364	828	1441
365	830	1438
366	832	1435
367	834	1432
368	836	1429
369	838	1426
370	839	1423
371	841	1421
372	844	1419
373	846	1417
374	848	1414
375	850	1411
376	852	1408
377	854	1406
378	857	1404
379	859	1402
380	861	1400
381	865	1400
382	868	1399
383	871	1398
384	874	1396
385	878	1396
386	880	1394
387	883	1393
388	887	1394
389	892	1395
390	895	1394
391	901	1397
392	905	1398
393	907	1396
394	910	1393
395	913	1392
396	915	1390
397	918	1388
398	920	1387
399	923	1385
400	927	1384
401	929	1382
402	932	1380
403	934	1378
404	937	1376
405	939	1375
406	942	1373
407	945	1371
408	947	1369
409	950	1367
410	953	1366
411	957	1365
412	959	1364
413	962	1362
414	965	1360
415	967	1358
416	971	1357
417	973	1355
418	976	1354
419	979	1352
420	981	1349
421	985	1349
422	987	1346
423	990	1345
